GENSPECIES,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TOLERANCE,FEEDINGHAB,NBI-P_TOLERANCE,NBI-N_TOLERANCE
Undetermined Ephydridae,ARTHROPODA,INSECTA,DIPTERA,Ephydridae,,7,SH,,
Undetermined Muscidae,ARTHROPODA,INSECTA,DIPTERA,Muscidae,,6,PR,,
Undetermined Anthomyiidae,ARTHROPODA,INSECTA,DIPTERA,Anthomyiidae,,6,PR,,
Undetermined Scathophagidae,ARTHROPODA,INSECTA,DIPTERA,Scathophagidae,,6,SH,,
Nymphomyia sp.,ARTHROPODA,INSECTA,DIPTERA,Nymphomyiidae,,5,CG,,
Undetermined Diptera,ARTHROPODA,INSECTA,DIPTERA,,,6,,,
Ablabesmyia annulata,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia idei,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia illinoensis,Arthropoda,INSECTA,Diptera,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia janta,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia mallochi,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia monilis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia peleensis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia philosphagnos,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia rhamphe,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia simpsoni,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Ablabesmyia sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
Alotanypus aris,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,PR,,
Alotanypus sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,9,PR,,
Apsectrotanypus johnsoni,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,7,PR,,
Brundiniella sp.,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,6,PR,,
Clinotanypus pinguis,ARTHROPODA,INSECTA,DIPTERA,Chironomidae,Tanypodinae,8,PR,,
