Phylum,Class,Order,Family,Genus,FFG,TV,MBSS UTV,MACS TV,Habitat
Arthropoda,Insecta,Trichoptera,Hydroptilidae,HydroptilidaeG,,,4,,
Arthropoda,Insecta,Plecoptera,Perlodidae,PerlodidaeG,P,2,2.2,2,CG
Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,SH,,4.3,4,
Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,SH,,4.2,3,CG
Arthropoda,Insecta,Coleoptera,Ptilodactylidae,Anchytarsus,SH,,3.1,,CG
Mollusca,Gastropoda,Limnophila,Physidae,Aplexa,,,7,,CL
Arthropoda,Insecta,Ephemeroptera,Baetidae,Barbaetis,CG,,2.3,4,
Arthropoda,Insecta,Plecoptera,Nemouridae,Zapada,SH,,2.9,,SP
Arthropoda,Insecta,Odonata,Aeshnidae,Basiaeschna,P,3,6.2,2,CL
Arthropoda,Insecta,Trichoptera,Brachycentridae,Brachycentrus,F,,2.3,1,CG
Arthropoda,Insecta,Ephemeroptera,Baetidae,Callibaetis,CG,,2.3,9,SW
Arthropoda,Insecta,Plecoptera,Capniidae,Capnia,SH,,3.7,,SP
Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,P,,1.4,4,CG
Arthropoda,Insecta,Odonata,Coenagrionidae,Chromagrion,P,,9,,CL
Arthropoda,Insecta,Plecoptera,Perlodidae,Clioperla,P,2,1.7,,CG
Arthropoda,Insecta,Plecoptera,Perlodidae,Cultus,P,2,2.2,,CG
Arthropoda,Insecta,Plecoptera,Perlidae,Eccoptura,P,,0.6,,CG
Arthropoda,Insecta,Trichoptera,Glossosomatidae,Glossosoma,SC,,0,,CG
Arthropoda,Insecta,Coleoptera,Hydrophilidae,Helochares,,,4.1,,CL
Arthropoda,Insecta,Odonata,Corduliidae,Helocordulia,P,5,2,,SP
Arthropoda,Insecta,Trichoptera,Limnephilidae,Hydatophylax,SH,,3.4,2,SP
Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydroporus,P,,4.6,5,SW
Arthropoda,Insecta,Trichoptera,Limnephilidae,Ironoquia,SH,,4.9,4,SP
Arthropoda,Insecta,Odonata,Libellulidae,Libellula,P,9,7,8,SP
Arthropoda,Crustacea,Isopoda,Asellidae,Lirceus,CG,,3.3,8,SP
Arthropoda,Insecta,Coleoptera,Lutrochidae,Lutrochus,,,,,CG
Arthropoda,Insecta,Trichoptera,Limnephilidae,Madeophylax,SC,,3.4,4,CL
Arthropoda,Insecta,Diptera,Ceratopogonidae,Monohelea,,,3.6,,
Arthropoda,Insecta,Trichoptera,Leptoceridae,Mystacides,CG,,4.1,4,SP
Arthropoda,Insecta,Diptera,Stratiomyiidae,Nemotelus,CG,,,,
Arthropoda,Insecta,Plecoptera,Perlidae,Neoperla,P,,2.2,,CG
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Neotrichia,,,4,,
Arthropoda,Insecta,Odonata,Gomphidae,Ophiogomphus,P,1,2.2,,BU
Arthropoda,Crustacea,Decapoda,Cambaridae,Orconectes,SH,6,2.8,6,SP
Arthropoda,Insecta,Trichoptera,Hydroptilidae,Oxyethira,CG,,3,3,CL
Arthropoda,Insecta,Plecoptera,Nemouridae,Paranemoura,,,2.9,,
